observation_date,MAPOP
2016-01-01,6827.280
2017-01-01,6863.560
2018-01-01,6885.720
2019-01-01,6894.883
2020-01-01,6994.598
2021-01-01,7000.474
2022-01-01,7022.468
2023-01-01,7066.568
2024-01-01,7136.171
